,Ticker,Company Name,Country,Sector,Subsector,Environmental SCORE,Social SCORE,Governance SCORE,Assets,"Cash and Cash Equivalents, at Carrying Value",Final Revenue,Gross Profit,Income from Continuing Operations before Taxes,Operating Income (Loss),Total Equity,Total Liabilities and Equity,Net Income (Loss),"Cash and Cash Equivalents, Period Increase (Decrease)",Target
10,ATVI,"ACTIVISION BLIZZARD, INC",US,Media & Entertainment,Interactive Home Entertainment,8.3,4.7,3.9,"17,302,000,000","2,872,000,000","1,455,000,000",,"409,000,000","461,000,000","8,348,000,000","17,302,000,000","363,000,000","1,049,000,000",1
11,ADUS,ADDUS HOMECARE CORPORATION,US,Health Care Providers & Services,Health Care Services,5.1,3.7,5.5,"229,218,000","9,080,000","92,602,000","24,319,000","234,000","653,000","142,390,000","229,218,000","157,000","4,976,000",1
12,ADTN,"ADTRAN, INC",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,2.0,5.0,5.2,"621,494,000","91,609,000","142,204,000","65,794,000","65,794,000","5,521,000","472,389,000","621,494,000","5,014,000",,1
13,AEIS,"ADVANCED ENERGY INDUSTRIES, INC",US,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,3.5,4.0,5.9,"478,287,000","176,300,000","103,044,000","53,460,000","23,978,000","23,621,000","289,225,000","478,287,000","22,281,000","15,490,000",1
14,AMD,"ADVANCED MICRO DEVICES, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,4.3,6.0,5.9,"2,981,000,000","716,000,000","832,000,000","269,000,000","-108,000,000","-68,000,000","-503,000,000","2,981,000,000","-109,000,000","-69,000,000",1
15,AERI,"AERIE PHARMACEUTICALS, INC",US,Pharmaceuticals,Pharmaceuticals,2.9,4.2,5.1,"139,201,000","74,266,000",,,,"-22,110,000","-155,000","139,201,000","-22,704,000","-16,794,000",0
16,AVAV,"AEROVIRONMENT, INC",US,Aerospace & Defense,Aerospace & Defense,4.3,5.3,4.5,"389,491,000","122,706,000","84,757,000","37,922,000","37,922,000","6,831,000","354,571,000","389,491,000",,,1
17,AGEN,AGENUS INC,US,Biotechnology,Biotechnology,7.8,4.8,2.6,"221,139,321","78,330,566","5,958,876",,,"-27,969,123","44,452,740","221,139,321","-31,778,503","-58,372,307",0
18,AGYS,"AGILYSYS, INC",US,Software & Services,Application Software,4.1,2.7,6.4,"185,157,000","60,608,000","31,924,000","17,607,000","-1,432,000","-1,978,000","123,473,000","185,157,000","-1,538,000",,0
19,AGIO,Agios Pharmaceuticals Inc,US,Biotechnology,Biotechnology,7.5,5.3,5.5,"396,117,000","39,035,000","31,281,000",,,"-23,594,000","332,373,000","396,117,000","-23,198,000","-32,729,000",1
20,ATSG,"AIR TRANSPORT SERVICES GROUP, INC",US,Air Freight & Logistics,Air Freight & Logistics,5.8,3.8,5.6,"1,138,066,000",,"177,385,000",,"12,148,000","15,351,000","408,442,000","1,138,066,000","8,218,000","22,137,000",0
21,AKAM,"AKAMAI TECHNOLOGIES, INC",US,Software & Services,Internet Services & Infrastructure,9.0,5.2,5.1,"4,183,752,000","312,912,000","567,725,000",,"112,597,000","114,119,000","3,113,582,000","4,183,752,000","74,858,000","23,439,000",1
22,AKBA,"AKEBIA THERAPEUTICS, INC",US,Biotechnology,Biotechnology,5.1,3.1,4.8,"221,440,000","43,439,000",0,,,"-26,046,000","167,762,000","221,440,000","-25,798,000","-6,339,000",0
23,ALRM,"ALARMCOM HOLDINGS, INC",US,Software & Services,Application Software,4.6,2.6,6.7,"235,868,000","135,845,000","59,043,000",,,"4,261,000","174,448,000","235,868,000","2,738,000","7,487,000",0
24,ALBO,Albireo Pharma Inc,US,Biotechnology,Biotechnology,2.3,3.6,5.8,"34,173,000","2,412,000","124,000",,,"-2,624,000","30,995,000","34,173,000","-3,239,000","-2,708,000",0
25,ALGN,"ALIGN TECHNOLOGY, INC",US,Health Care Equipment & Supplies,Health Care Supplies,7.6,6.0,4.5,"1,207,560,000","154,418,000","238,720,000","180,627,000","52,907,000","53,334,000","892,030,000","1,207,560,000","40,546,000","-13,296,000",1
26,ABTX,"ALLEGIANCE BANCSHARES, INC",US,Banks,Regional Banks,0.5,3.7,4.7,"2,210,707,000","183,290,000",,,,,"266,293,000","2,210,707,000","6,355,000","34,859,000",0
27,MDRX,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC",US,Health Care Equipment & Supplies,Health Care Technology,8.0,5.5,5.7,"2,624,322,000","100,116,000","345,558,000","151,898,000","151,898,000","11,896,000","1,378,000,000","2,624,322,000","2,049,000","-16,757,000",1
28,ALNY,"ALNYLAM PHARMACEUTICALS, INC",US,Biotechnology,Biotechnology,6.0,4.2,5.5,"1,316,949,000","231,278,000",,,,"-110,028,000","1,189,051,000","1,316,949,000","-102,974,000","50,383,000",0
29,AOSL,Alpha and Omega Semiconductor Ltd,US,Semiconductors & Semiconductor Equipment,Semiconductors,3.9,3.1,5.5,"313,894,000","78,923,000","82,987,000","16,319,000","16,319,000","-171,000","235,725,000","313,894,000","-1,263,000",,0
30,ATEC,"ALPHATEC HOLDINGS, INC",US,Health Care Equipment & Supplies,Health Care Equipment,6.2,6.8,5.7,"145,390,000","7,761,000","34,206,000","24,487,000","24,487,000","-3,442,000","-42,343,000","145,390,000","-6,617,000","-3,468,000",1
31,AIMC,ALTRA INDUSTRIAL MOTION CORP,US,Industrial Machinery,Industrial Machinery,4.3,3.8,5.8,"635,930,000","44,843,000","180,453,000","54,630,000","12,359,000","14,977,000","250,571,000","635,930,000","8,810,000","-5,477,000",1
32,AMRK,"A-MARK PRECIOUS METALS, INC",US,Trading Companies & Distributors,Specialized Finance,2.5,4.9,5.6,"417,382,000","12,972,000","1,512,750,000","6,858,000","6,858,000",,"62,954,000","417,382,000",,,1
33,AMZN,"AMAZONCOM, INC",US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,5.5,5.0,4.7,"61,128,000,000","12,470,000,000","29,128,000,000",,"1,056,000,000","1,071,000,000","14,756,000,000","61,128,000,000","513,000,000","-3,420,000,000",1
34,AMZN,"WHOLE FOODS MARKET, INC",US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,5.5,5.0,4.7,"61,128,000,000","12,470,000,000","29,128,000,000",,"1,056,000,000","1,071,000,000","14,756,000,000","61,128,000,000","513,000,000","-3,420,000,000",1
35,AMBA,AMBARELLA INC,US,Semiconductors & Semiconductor Equipment,Semiconductors,5.6,3.6,5.3,"410,615,000","268,056,000","57,157,000","36,707,000","36,707,000","1,348,000","349,456,000","410,615,000","1,783,000","-97,000",0
36,AMCX,AMC NETWORKS INC,US,Media & Entertainment,Broadcasting,6.7,4.9,1.1,"4,678,229,000","702,800,000","706,579,000",,,"258,807,000","85,904,000","4,678,229,000","113,444,000",,0
37,AMED,"AMEDISYS, INC",US,Health Care Providers & Services,Health Care Services,5.3,5.8,6.7,"705,645,000","7,824,000",,,"10,703,000","11,063,000","409,809,000","705,645,000","6,213,000","-19,678,000",1
38,AAL,AMERICAN AIRLINES GROUP INC,US,Airlines,Airlines,3.1,3.1,4.5,"49,909,000,000",,"9,435,000,000",,,"1,335,000,000","4,710,000,000","49,909,000,000","700,000,000",,0
39,ANAT,"AMERICAN NATIONAL GROUP, INC",US,Multi-Line Insurance & Brokerage,Multi-line Insurance,2.6,3.8,4.8,"23,967,886,000","264,288,000","764,970,000",,"23,508,000",,"4,516,220,000","23,967,886,000","29,316,000","-46,642,000",0
40,APEI,"AMERICAN PUBLIC EDUCATION, INC",US,Diversified Consumer Services,Education Services,6.5,3.9,6.0,"314,398,000","119,985,000","83,966,000",,"16,007,000","15,970,000","247,381,000","314,398,000","10,340,000","14,251,000",1
41,AMSWA,"AMERICAN SOFTWARE, INC",US,Software & Services,Application Software,4.0,4.7,3.2,"134,682,000","42,962,000","28,866,000","15,839,000","15,839,000","3,861,000","94,160,000","134,682,000","3,406,000",,0
42,AMWD,AMERICAN WOODMARK CORPORATION,US,Building Products,Building Products,3.3,6.5,6.1,"446,716,000","164,679,000","240,923,000","48,871,000","20,849,000","22,160,000","277,791,000","446,716,000","13,372,000",,0
43,CRMT,"AMERICAS CAR-MART, INC",US,Retail - Consumer Discretionary,Automotive Retail,2.1,5.5,6.6,"424,283,000","590,000","154,749,000","53,960,000","53,960,000",,"228,768,000","424,283,000","3,363,000",,1
44,AMSF,"AMERISAFE, INC",US,Property & Casualty Insurance,Property & Casualty Insurance,2.8,2.1,5.3,"1,557,560,000","79,290,000","102,335,000",,,,"478,753,000","1,557,560,000","24,257,000","9,809,000",0
45,ABCB,AMERIS BANCORP,US,Banks,Regional Banks,1.7,3.5,6.3,"6,097,771,000","254,236,000",,,"18,441,000",,"600,828,000","6,097,771,000","12,317,000","-136,327,000",1
46,AMGN,AMGEN INC,US,Biotechnology,Biotechnology,7.6,5.3,5.2,"75,116,000,000","2,896,000,000","5,527,000,000","4,221,000,000","2,258,000,000","2,402,000,000","28,682,000,000","75,116,000,000","1,900,000,000","-1,248,000,000",1
47,FOLD,"AMICUS THERAPEUTICS, INC",US,Biotechnology,Biotechnology,3.1,3.3,5.2,"862,907,000","23,510,000",,,,"-43,001,000","311,632,000","862,907,000","-43,691,000","-45,975,000",0
48,AMKR,"AMKOR TECHNOLOGY, INC",US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3.9,6.2,4.0,"3,959,154,000","413,465,000","868,682,000","122,884,000","1,468,000","22,094,000","1,227,582,000","3,959,154,000","-875,000","-109,707,000",0
49,AMPH,AMPHASTAR PHARMACEUTICALS INC,US,Pharmaceuticals,Pharmaceuticals,3.1,4.7,4.6,"395,006,000","63,332,000","59,366,000","24,902,000","24,902,000","4,075,000","296,585,000","395,006,000","2,489,000","-2,742,000",1
50,AMRS,"AMYRIS, INC",US,Specialty Chemicals,Specialty Chemicals,4.5,0.6,3.8,"102,105,000","7,826,000","8,811,000","-8,038,000","-15,193,000","-26,539,000","-156,675,000","102,105,000","-15,308,000","-4,166,000",0
51,ADI,"ANALOG DEVICES, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,6.4,6.1,3.3,"7,598,081,000","1,470,442,000","778,766,000","510,903,000","194,910,000","207,379,000","4,994,862,000","7,598,081,000","170,573,000",,1
52,ADI,"MAXIM INTEGRATED PRODUCTS, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,5.1,6.4,5.5,"7,598,081,000","1,470,442,000","778,766,000","510,903,000","194,910,000","207,379,000","4,994,862,000","7,598,081,000","170,573,000",,1
53,ANAB,AnaptysBio Inc,US,Biotechnology,Biotechnology,7.1,4.2,5.8,,,"4,866,000",,,"-1,139,000",,,"-888,000",,1
54,AVXL,Anavex Life Sciences Corp,US,Biotechnology,Biotechnology,7.1,4.3,5.7,"12,115,249",,,,,,"9,683,185","12,115,249","-2,030,801",,1
55,ANDE,"THE ANDERSONS, INC",US,Retail - Food & Staples,Food Distributors,0.0,5.6,5.2,0,0,0,"67,755,000","67,755,000","-4,613","-5,603",0,"-4,613","-17,449,000",1
56,ANGO,"ANGIODYNAMICS, INC",US,Health Care Equipment & Supplies,Health Care Equipment,6.3,6.3,5.8,"753,614,000","21,897,000","87,434,000","43,534,000","945,000","1,966,000","550,796,000","753,614,000","594,000",,1
57,ANIK,"ANIKA THERAPEUTICS, INC",US,Biotechnology,Biotechnology,4.4,3.4,6.8,"214,457,000","92,837,000","22,283,000","16,853,000","16,853,000","10,709,000","195,368,000","214,457,000","6,895,000","-17,870,000",0
58,ANIP,"ANI PHARMACEUTICALS, INC",US,Pharmaceuticals,Pharmaceuticals,2.9,3.6,5.2,"291,588,000","77,747,000","20,555,000",,,"5,666,000","160,178,000","291,588,000","1,346,000","-76,937,000",0
59,ANSS,"ANSYS, INC",US,Software & Services,Application Software,6.1,5.6,6.0,"2,758,828,000","863,435,000","225,906,000","190,621,000","85,778,000","85,022,000","2,233,903,000","2,758,828,000","56,468,000","79,267,000",1
60,ATRS,"ANTARES PHARMA, INC",US,Pharmaceuticals,Pharmaceuticals,6.4,4.1,5.5,"81,308,638",,"12,318,772","5,543,031","5,543,031","-7,708,176","59,883,146","81,308,638","-7,656,110",,1
61,APOG,"APOGEE ENTERPRISES, INC",US,Building Products,Building Products,4.1,4.5,6.2,"657,440,000","60,470,000","262,149,000","68,857,000","68,857,000","28,888,000","406,195,000","657,440,000","19,935,000",,0
62,AMEH,"APOLLO MEDICAL HOLDINGS, INC",US,Health Care Providers & Services,Health Care Services,5.9,5.1,5.0,"19,566,533","9,270,010","11,815,300",,"-4,129,881","-3,729,053","-1,269,427","19,566,533","-4,644,701",,1
63,APPF,"APPFOLIO, INC",US,Software & Services,Application Software,4.8,4.0,4.6,"89,580,000","11,268,000","23,211,000",,,"-3,579,000","70,000,000","89,580,000","-3,603,000",,0
64,AAPL,APPLE INC,US,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",3.8,5.6,3.6,"305,277,000,000","21,514,000,000","50,557,000,000","19,921,000,000","19,921,000,000","13,987,000,000","130,457,000,000","305,277,000,000","10,516,000,000",,1
65,ARNA,"ARENA PHARMACEUTICALS, INC",US,Biotechnology,Biotechnology,5.7,4.6,5.4,"241,364,000","139,533,000","9,847,000",,,"-19,195,000","37,558,000","241,364,000","-21,548,000","-16,651,000",1
66,AROW,ARROW FINANCIAL CORPORATION,US,Banks,Regional Banks,3.5,3.6,4.6,"2,478,871,000","60,711,000",,,,,"220,703,000","2,478,871,000","6,549,000","9,643,000",0
67,ARWR,"ARROWHEAD PHARMACEUTICALS, INC",US,Biotechnology,Biotechnology,7.1,4.6,4.6,"94,607,471","50,300,847","43,750",,,"-21,264,855","74,481,425","94,607,471","-20,815,860",,1
68,ASTE,"ASTEC INDUSTRIES, INC",US,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,3.3,5.4,5.8,"835,780,000","62,445,000","278,721,000","71,956,000","28,227,000","28,150,000","624,430,000","835,780,000","17,743,000","37,383,000",1
69,ATRA,Atara Biotherapeutics Inc,US,Biotechnology,Biotechnology,7.4,4.9,5.6,"312,978,000","22,056,000",,,,"-17,061,000","303,834,000","312,978,000","-16,561,000","-1,690,000",1
70,ATLC,ATLANTICUS HOLDINGS CORPORATION,US,Consumer Finance,Consumer Finance,7.0,3.6,3.4,"279,315,000","48,855,000",,,"4,750,000",,"15,610,000","279,315,000","4,553,000","-2,178,000",0
71,AAWW,"ATLAS AIR WORLDWIDE HOLDINGS, INC",US,Air Freight & Logistics,Air Freight & Logistics,2.9,6.5,6.0,"4,064,655,000","317,410,000","418,615,000",,,"20,057,000","1,455,730,000","4,064,655,000","471,000","-108,540,000",0
72,ATNI,"ATN INTERNATIONAL, INC",US,Telecommunication Services,Integrated Telecommunication Services,6.7,3.4,4.1,"958,013,000","391,102,000","89,686,000",,,"15,893,000","681,218,000","958,013,000",,"-943,000",0
73,ATRC,"ATRICURE, INC",US,Health Care Equipment & Supplies,Health Care Equipment,6.3,7.0,5.8,"261,710,000","20,768,000","35,940,000","25,914,000","25,914,000","-9,419,000","181,027,000","261,710,000","-9,724,000","-2,996,000",1
74,ATRI,ATRION CORPORATION,US,Health Care Equipment & Supplies,Health Care Supplies,6.3,6.3,3.7,"170,187,000","27,947,000","36,215,000","17,565,000","10,243,000","10,465,000","148,552,000","170,187,000","6,945,000","-399,000",0
75,ADSK,"AUTODESK, INC",US,Software & Services,Application Software,6.4,5.8,5.5,"5,515,300,000","1,353,000,000","511,900,000","419,500,000","-158,600,000","-149,700,000","1,619,600,000","5,515,300,000","-167,700,000","-129,600,000",1
76,ADP,"AUTOMATIC DATA PROCESSING, INC",US,Software & Services,Data Processing & Outsourced Services,10.0,6.7,6.4,"51,125,600,000","2,941,400,000","3,248,600,000","1,435,900,000","794,800,000",,"4,503,200,000","51,125,600,000","532,500,000",,1
77,AVID,"AVID TECHNOLOGY, INC",US,Software & Services,"Technology Hardware, Storage & Peripherals",4.5,4.0,5.3,"311,763,000","87,830,000","143,547,000","100,064,000","21,575,000","25,758,000","-303,605,000","311,763,000","20,940,000","69,928,000",1
78,CAR,"AVIS BUDGET GROUP, INC",US,Road & Rail Transport,Trucking,9.7,4.2,5.1,"19,308,000,000","876,000,000","1,881,000,000",,"-86,000,000",,,"19,308,000,000","-51,000,000","424,000,000",1
79,ACLS,"AXCELIS TECHNOLOGIES, INC",US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,2.0,3.5,6.6,"293,334,000","67,571,000","67,521,000","23,416,000","23,416,000","2,496,000","194,315,000","293,334,000",,"-11,318,000",0
80,AXGN,"AxoGen, Inc",US,Health Care Equipment & Supplies,Health Care Equipment,6.4,5.3,5.8,"33,496,735","20,948,752","8,111,759","6,706,168","6,706,168","-2,622,804","4,839,157","33,496,735","-3,676,091","-4,960,748",1
81,AXSM,"AXSOME THERAPEUTICS, INC",US,Pharmaceuticals,Pharmaceuticals,6.1,5.8,3.8,"45,148,244",,,,,"-5,882,865","41,234,512","45,148,244","-5,865,941","-3,958,260",1
82,BCPC,BALCHEM CORPORATION,US,Specialty Chemicals,Specialty Chemicals,5.4,3.5,6.2,"970,226,000","39,172,000","135,141,000","42,824,000","17,981,000","19,968,000","480,251,000","970,226,000","11,886,000","-45,623,000",1
83,BANF,BANCFIRST CORPORATION,US,Banks,Regional Banks,0.1,3.4,5.0,"6,740,938,000","1,668,325,000",,,,,"662,661,000","6,740,938,000","16,579,000","70,148,000",0
84,BMRC,BANK OF MARIN BANCORP,US,Banks,Regional Banks,0.0,3.1,5.1,"1,943,602,000",,,,"8,791,000",,"221,646,000","1,943,602,000","5,646,000","13,427,000",0
85,BANR,BANNER CORPORATION,US,Banks,Regional Banks,0.3,3.8,6.4,"9,745,594,000","260,570,000",,,,"19,959,000","1,338,517,000","9,745,594,000","17,774,000","-1,347,000",1
86,BBSI,"BARRETT BUSINESS SERVICES, INC",US,Professional Services,Human Resource & Employment Services,6.7,3.4,6.5,"565,645,000","43,464,000","190,968,000","10,387,000","10,387,000","-12,266,000","45,652,000","565,645,000","-8,003,000","18,246,000",0
87,BV,"BRIGHTVIEW HOLDINGS, INC",US,Commercial Services & Supplies,Environmental & Facilities Services,3.1,3.8,6.1,"341,066,000","57,944,000","50,709,000","31,456,000","31,456,000","-6,580,000","186,657,000","341,066,000","-7,129,000",,0
88,BV,"BRIGHTVIEW LANDSCAPES, LLC",US,Commercial Services & Supplies,Environmental & Facilities Services,3.1,3.8,6.1,"341,066,000","57,944,000","50,709,000","31,456,000","31,456,000","-6,580,000","186,657,000","341,066,000","-7,129,000",,0
89,BECN,"BEACON ROOFING SUPPLY, INC",US,Trading Companies & Distributors,Trading Companies & Distributors,3.2,6.8,5.8,"2,966,847,000","14,841,000","823,537,000","195,764,000","-9,143,000","3,883,000","1,219,985,000","2,966,847,000","-5,719,000",,1
90,BBBY,BED BATH & BEYOND INC,US,Retail - Consumer Discretionary,Homefurnishing Retail,5.3,2.3,3.6,"6,490,077,000","515,573,000","3,417,892,000","1,319,916,000","474,130,000","498,582,000","2,559,540,000","6,490,077,000",,,0
91,BNFT,"BENEFITFOCUS, INC",US,Software & Services,Application Software,4.7,4.9,5.6,"135,971,000","22,253,000","54,792,000","25,495,000","25,495,000","-11,489,000","-26,667,000","135,971,000","-13,352,000","-25,821,000",1
92,BCRX,"BIOCRYST PHARMACEUTICALS, INC",US,Biotechnology,Biotechnology,5.3,3.9,5.8,"102,881,000","12,902,000","4,820,000",,,"-19,048,000","27,798,000","102,881,000","-22,832,000","-15,997,000",0
93,BDSI,"BIODELIVERY SCIENCES INTERNATIONAL, INC",US,Pharmaceuticals,Pharmaceuticals,2.6,3.7,6.2,"90,301,000","69,393,000","3,040,000","490,000","490,000","-17,942,000","19,799,000","90,301,000","-18,733,000","-14,167,000",1
94,BIIB,BIOGEN INC,US,Biotechnology,Biotechnology,7.4,5.6,5.8,"20,674,700,000","1,130,700,000","2,726,800,000","2,413,800,000","1,325,600,000","1,378,400,000","10,326,800,000","20,674,700,000","970,900,000","-192,400,000",1
95,BLFS,"BIOLIFE SOLUTIONS, INC",US,Health Care Equipment & Supplies,Health Care Supplies,6.4,3.9,5.4,"10,775,853","1,662,431","1,852,017","1,081,012","1,081,012","-1,492,432","7,442,610","10,775,853","-1,226,828","-510,827",0
96,BMRN,BIOMARIN PHARMACEUTICAL INC,US,Biotechnology,Biotechnology,5.8,4.1,4.9,"3,666,993,000","270,453,000","236,736,000",,,"-80,917,000","2,290,236,000","3,666,993,000","-83,051,000","-126,587,000",1
97,TECH,BIO-TECHNE CORPORATION,US,Health Care Equipment & Supplies,Life Sciences Tools & Services,7.2,5.1,5.4,"1,121,924,000","65,713,000","130,973,000","89,989,000","89,989,000","43,527,000","852,962,000","1,121,924,000","30,291,000",,1
98,BEAT,"BIOTELEMETRY, INC",US,Health Care Providers & Services,Health Care Services,10.0,4.7,5.1,"128,931,000","22,841,000","48,640,000","30,627,000","30,627,000","4,534,000","80,659,000","128,931,000",,"3,855,000",0
99,BJRI,"BJS RESTAURANTS, INC",US,Restaurants,Restaurants,1.8,4.5,5.4,"671,704,000","26,950,000","243,401,000",,,"16,393,000","305,617,000","671,704,000","11,644,000","-7,654,000",0
100,BLKB,"BLACKBAUD, INC",US,Software & Services,Application Software,4.3,4.8,4.7,"1,071,928,000","12,084,000","169,256,000","89,367,000","7,832,000","10,612,000","213,157,000","1,071,928,000","6,237,000","-3,278,000",1
101,BL,"BLACKLINE, INC",US,Software & Services,Application Software,3.6,5.9,5.5,,"13,464,000","26,561,000","19,621,000","19,621,000","-9,799,000",,,"-9,335,000","-1,741,000",1
102,BCOR,"BLUCORA, INC",US,Asset Management & Custody Banks,Asset Management & Custody Banks,6.7,2.7,5.7,"1,269,736,000","67,955,000","165,765,000",,"31,932,000","39,446,000","509,802,000","1,269,736,000","22,667,000","12,482,000",0
103,BLUE,"BLUEBIRD BIO, INC",US,Biotechnology,Biotechnology,6.4,4.1,6.0,"978,704,000","192,588,000","1,499,000",,,"-57,380,000","806,507,000","978,704,000","-56,274,000","28,319,000",1
104,BLBD,BLUE BIRD CORPORATION,US,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,2.8,4.6,4.1,"250,969,000","16,632,000","191,208,000","25,114,000","2,005,000","6,369,000","-121,530,000","250,969,000","1,394,000",,0
105,BPMC,Blueprint Medicines Corp,US,Biotechnology,Biotechnology,5.1,3.2,4.3,"206,010,000","122,289,000","6,856,000",,,,"129,659,000","206,010,000","-15,504,000",,0
106,EPAY,"BOTTOMLINE TECHNOLOGIES, INC",US,Software & Services,Application Software,4.0,5.5,4.8,"678,560,000","115,433,000","86,233,000","49,014,000","49,014,000","-355,000","328,709,000","678,560,000","-4,230,000",,1
107,BCOV,Brightcove Inc,US,Software & Services,Internet Services & Infrastructure,4.6,3.6,6.7,"130,771,000","29,292,000","36,292,000","23,028,000","23,028,000","-1,531,000","78,115,000","130,771,000","-1,607,000","1,655,000",1
108,AVGO,BROADCOM CORPORATION,US,Semiconductors & Semiconductor Equipment,Semiconductors,5.6,2.1,5.9,"10,777,000,000","2,169,000,000","3,541,000,000","1,046,000,000","1,046,000,000","-1,001,000,000","5,121,000,000","10,777,000,000","-1,186,000,000",,0
109,AVGO,BROADCOM INC,US,Semiconductors & Semiconductor Equipment,Semiconductors,5.6,2.1,5.9,"10,777,000,000","2,169,000,000","3,541,000,000","1,046,000,000","1,046,000,000","-1,001,000,000","5,121,000,000","10,777,000,000","-1,186,000,000",,0
110,BRKL,"BROOKLINE BANCORP, INC",US,Banks,Regional Banks,0.3,3.2,5.4,"6,181,030,000","73,922,000",,,"21,241,000",,"680,417,000","6,181,030,000","12,812,000",,0
111,BRKR,BRUKER CORPORATION,US,Health Care Equipment & Supplies,Life Sciences Tools & Services,7.7,3.6,4.3,"1,739,800,000","209,900,000","375,400,000","166,800,000","28,400,000","34,000,000","702,100,000","1,739,800,000","23,600,000","-57,200,000",0
112,BLDR,"BUILDERS FIRSTSOURCE, INC",US,Building Products,Building Products,4.6,6.6,4.8,"2,849,091,000","3,728,000","1,397,114,000","349,748,000","349,748,000","22,779,000","133,934,000","2,849,091,000","-16,980,000","-61,335,000",1
113,CCMP,"CMC MATERIALS, INC",US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,3.2,5.4,5.0,"664,586,000","226,388,000","99,244,000","46,896,000","11,565,000","12,304,000","437,125,000","664,586,000","9,131,000",,0
114,CDNS,"CADENCE DESIGN SYSTEMS, INC",US,Software & Services,Application Software,6.2,5.4,5.5,"2,345,515,000","616,686,000","447,862,000",,,"58,036,000","1,376,115,000","2,345,515,000","50,562,000","193,714,000",1
115,CZR,"CAESARS ENTERTAINMENT OPERATING COMPANY, INC",US,Casinos & Gaming,Casinos & Gaming,5.9,4.1,5.9,"7,062,000,000","211,000,000","528,000,000",,,"78,000,000",,"7,062,000,000","-16,000,000","61,000,000",1
116,CZR,"CAESARS ENTERTAINMENT, INC",US,Casinos & Gaming,Casinos & Gaming,5.9,4.1,5.9,"7,062,000,000","211,000,000","528,000,000",,,"78,000,000",,"7,062,000,000","-16,000,000","61,000,000",1
